sector,budget_lkr,monthly_yield_kg,employees,experience_years,product
coconut,370000,1850,4,3.2,Coconut Flour
coconut,940000,4800,5,1.8,Coconut Milk
palmyrah,205000,750,3,2.8,Palmyrah Jaggery
palmyrah,255000,1450,4,3.4,Palmyrah Treacle
palmyrah,515000,2400,4,4.2,Palmyrah Sugar
palmyrah,505000,950,2,5.6,Palmyrah Sugar
kithul,325000,350,3,5.0,Kithul Jaggery
coconut,470000,1250,4,4.1,Coconut Flour
kithul,560000,2400,5,4.9,Kithul Flour
palmyrah,395000,1100,3,5.9,Palmyrah Treacle
coconut,115000,600,3,2.7,Coconut Chips
coconut,1095000,1850,2,1.3,Coconut Milk
kithul,750000,2250,5,2.1,Kithul Flour
kithul,470000,1700,3,6.5,Kithul Jaggery
kithul,750000,2000,4,6.1,Kithul Flour
kithul,305000,450,1,2.1,Kithul Treacle
coconut,2955000,5350,8,6.1,Desiccated Coconut
kithul,335000,1100,3,4.1,Kithul Treacle
coconut,3340000,5200,4,8.9,Desiccated Coconut
palmyrah,250000,2000,3,1.6,Palmyrah Treacle
coconut,845000,5750,5,4.8,Virgin Coconut Oil
kithul,260000,900,4,1.5,Kithul Jaggery
palmyrah,490000,950,2,5.4,Palmyrah Treacle
coconut,545000,2400,4,2.8,Coconut Flour
palmyrah,395000,1650,3,5.4,Palmyrah Sugar
coconut,1890000,3650,3,7.6,Virgin Coconut Oil
kithul,100000,700,3,3.1,Kithul Treacle
coconut,240000,1650,3,1.9,Coconut Chips
coconut,3515000,7650,4,2.9,Desiccated Coconut
palmyrah,95000,200,2,3.4,Palmyrah Jaggery
kithul,325000,800,2,2.0,Kithul Treacle
